network,method,variant,analysis_type,attractor_id,attractor_signature,period,basin_count_or_sample_count,basin_fraction,basin_fraction_ci95_low,basin_fraction_ci95_high
acute_myeloid_leukemia,original,original,monte_carlo,A001,7e85ac88495cefe4,1,7434,0.7434,0.7347472329360285,0.7518658297897947
acute_myeloid_leukemia,original,original,monte_carlo,A002,74698bb601e3e729,1,2566,0.2566,0.2481341702102052,0.26525276706397144
acute_myeloid_leukemia,node_elimination,node_elimination,exact,A001,5feceb66ffc86f38,1,1,0.5,0.5,0.5
acute_myeloid_leukemia,node_elimination,node_elimination,exact,A002,6b86b273ff34fce1,1,1,0.5,0.5,0.5
acute_myeloid_leukemia,two_step,two_step,exact,A001,a435270b90e9b709,1,2048,0.5,0.5,0.5
acute_myeloid_leukemia,two_step,two_step,exact,A002,52d77984d95c7488,1,2048,0.5,0.5,0.5
acute_myeloid_leukemia,leaf_node_removal,leaf_node_removal,exact,A001,5feceb66ffc86f38,1,1,0.25,0.25,0.25
acute_myeloid_leukemia,leaf_node_removal,leaf_node_removal,exact,A002,6b86b273ff34fce1,1,3,0.75,0.75,0.75
acute_myeloid_leukemia,dominant_vertices,dv_01,exact,A001,5feceb66ffc86f38,1,131072,0.5,0.5,0.5
acute_myeloid_leukemia,dominant_vertices,dv_01,exact,A002,e39eef82f61b21e2,1,131072,0.5,0.5,0.5
basal_cell_carcinoma,original,original,monte_carlo,A001,5ba234f057fea418,1,1211,0.1211,0.11485070300682557,0.1276403016488259
basal_cell_carcinoma,original,original,monte_carlo,A002,038f181448579c22,1,8789,0.8789,0.8723596983511741,0.8851492969931745
basal_cell_carcinoma,node_elimination,node_elimination,exact,A001,5feceb66ffc86f38,1,1,0.5,0.5,0.5
basal_cell_carcinoma,node_elimination,node_elimination,exact,A002,6b86b273ff34fce1,1,1,0.5,0.5,0.5
basal_cell_carcinoma,two_step,two_step,monte_carlo,A001,34710e24aae5ec67,1,5105,0.5105,0.5007000096042682,0.5202919261336987
basal_cell_carcinoma,two_step,two_step,monte_carlo,A002,7d10333147087a70,1,4895,0.4895,0.4797080738663013,0.4992999903957317
basal_cell_carcinoma,leaf_node_removal,leaf_node_removal,exact,A001,5feceb66ffc86f38,1,1,0.125,0.125,0.125
basal_cell_carcinoma,leaf_node_removal,leaf_node_removal,exact,A002,6b86b273ff34fce1,1,7,0.875,0.875,0.875
basal_cell_carcinoma,dominant_vertices,dv_01,exact,A001,5feceb66ffc86f38,1,262144,0.5,0.5,0.5
basal_cell_carcinoma,dominant_vertices,dv_01,exact,A002,e29c9c180c6279b0,1,262144,0.5,0.5,0.5
bladder_cancer,original,original,monte_carlo,A001,9c3e3e92d4ad0b30,1,10000,1.0,0.9996159875222334,0.9999999999999999
bladder_cancer,node_elimination,node_elimination,exact,A001,5feceb66ffc86f38,1,1,1.0,1.0,1.0
bladder_cancer,two_step,two_step,exact,A001,5feceb66ffc86f38,1,1,1.0,1.0,1.0
bladder_cancer,leaf_node_removal,leaf_node_removal,exact,A001,5feceb66ffc86f38,1,1,1.0,1.0,1.0
bladder_cancer,dominant_vertices,dv_01,monte_carlo,A001,5feceb66ffc86f38,1,10000,1.0,0.9996159875222334,0.9999999999999999
chronic_myeloid_leukemia,original,original,monte_carlo,A001,b1f56f06b9ac2173,1,10000,1.0,0.9996159875222334,0.9999999999999999
chronic_myeloid_leukemia,node_elimination,node_elimination,exact,A001,5feceb66ffc86f38,1,1,1.0,1.0,1.0
chronic_myeloid_leukemia,two_step,two_step,exact,A001,5feceb66ffc86f38,1,1,1.0,1.0,1.0
chronic_myeloid_leukemia,leaf_node_removal,leaf_node_removal,exact,A001,5feceb66ffc86f38,1,1,1.0,1.0,1.0
chronic_myeloid_leukemia,dominant_vertices,dv_01,monte_carlo,A001,5feceb66ffc86f38,1,10000,1.0,0.9996159875222334,0.9999999999999999
colorectal_cancer,original,original,monte_carlo,A001,3bddd876c94aa42e,1,10000,1.0,0.9996159875222334,0.9999999999999999
colorectal_cancer,node_elimination,node_elimination,exact,A001,5feceb66ffc86f38,1,1,1.0,1.0,1.0
colorectal_cancer,two_step,two_step,exact,A001,5feceb66ffc86f38,1,1,1.0,1.0,1.0
colorectal_cancer,leaf_node_removal,leaf_node_removal,exact,A001,5feceb66ffc86f38,1,1,1.0,1.0,1.0
colorectal_cancer,dominant_vertices,dv_01,monte_carlo,A001,5feceb66ffc86f38,1,10000,1.0,0.9996159875222334,0.9999999999999999
endometrial_cancer,original,original,monte_carlo,A001,05fac1222eda8f1e,1,10000,1.0,0.9996159875222334,0.9999999999999999
endometrial_cancer,node_elimination,node_elimination,exact,A001,5feceb66ffc86f38,1,1,1.0,1.0,1.0
endometrial_cancer,two_step,two_step,exact,A001,5feceb66ffc86f38,1,1,1.0,1.0,1.0
endometrial_cancer,leaf_node_removal,leaf_node_removal,exact,A001,5feceb66ffc86f38,1,1,1.0,1.0,1.0
endometrial_cancer,dominant_vertices,dv_01,monte_carlo,A001,5feceb66ffc86f38,1,10000,1.0,0.9996159875222334,0.9999999999999999
