network,method,original_variables,original_fixed_variables,original_free_variables,retained_variables,fixed_variables,free_variables,free_eliminated_fraction,effective_state_space_size,log2_effective_state_space_ratio,fixed_points,fixed_point_count_match,analysis_type,attractor_count_is_complete,attractors_observed,fixed_attractors_observed,periodic_attractors_observed,mean_transient_length,max_transient_length,coverage_fraction,free_reduction_percent
acute_myeloid_leukemia,original,68,17,51,68,17,51,0.0,2251799813685248,0,2,True,monte_carlo,False,2,2,0,6.3481,7,4.440892098500626e-12,0.0
acute_myeloid_leukemia,dominant_vertices,68,17,51,18,17,1,0.9803921568627452,2,-50,2,True,exact,True,2,2,0,0.0,0,1.0,98.03921568627452
acute_myeloid_leukemia,node_elimination,68,17,51,1,0,1,0.9803921568627452,2,-50,2,True,exact,True,2,2,0,0.0,0,1.0,98.03921568627452
acute_myeloid_leukemia,two_step,68,17,51,12,0,12,0.7647058823529411,4096,-39,2,True,exact,True,2,2,0,1.87451171875,3,1.0,76.47058823529412
acute_myeloid_leukemia,leaf_node_removal,68,17,51,2,1,1,0.9803921568627452,2,-50,2,True,exact,True,2,2,0,0.0,0,1.0,98.03921568627452
basal_cell_carcinoma,original,63,18,45,63,18,45,0.0,35184372088832,0,2,True,monte_carlo,False,2,2,0,4.2207,6,2.842170943040401e-10,0.0
basal_cell_carcinoma,dominant_vertices,63,18,45,19,18,1,0.9777777777777776,2,-44,2,True,exact,True,2,2,0,0.0,0,1.0,97.77777777777776
basal_cell_carcinoma,node_elimination,63,18,45,1,0,1,0.9777777777777776,2,-44,2,True,exact,True,2,2,0,0.0,0,1.0,97.77777777777776
basal_cell_carcinoma,two_step,63,18,45,44,0,44,0.0222222222222222,17592186044416,-1,2,True,monte_carlo,False,2,2,0,4.2666,6,5.6843418860808e-10,2.2222222222222197
basal_cell_carcinoma,leaf_node_removal,63,18,45,3,2,1,0.9777777777777776,2,-44,2,True,exact,True,2,2,0,0.0,0,1.0,97.77777777777776
bladder_cancer,original,41,26,15,41,26,15,0.0,32768,0,1,True,exact,True,1,1,0,4.854461669921875,5,1.0,0.0
bladder_cancer,dominant_vertices,41,26,15,26,26,0,1.0,1,-15,1,True,exact,True,1,1,0,0.0,0,1.0,100.0
bladder_cancer,node_elimination,41,26,15,0,0,0,1.0,1,-15,1,True,exact,True,1,1,0,0.0,0,1.0,100.0
bladder_cancer,two_step,41,26,15,0,0,0,1.0,1,-15,1,True,exact,True,1,1,0,0.0,0,1.0,100.0
bladder_cancer,leaf_node_removal,41,26,15,0,0,0,1.0,1,-15,1,True,exact,True,1,1,0,0.0,0,1.0,100.0
chronic_myeloid_leukemia,original,77,21,56,77,21,56,0.0,72057594037927936,0,1,True,monte_carlo,False,1,1,0,8.4709,9,1.3877787807814457e-13,0.0
chronic_myeloid_leukemia,dominant_vertices,77,21,56,21,21,0,1.0,1,-56,1,True,exact,True,1,1,0,0.0,0,1.0,100.0
chronic_myeloid_leukemia,node_elimination,77,21,56,0,0,0,1.0,1,-56,1,True,exact,True,1,1,0,0.0,0,1.0,100.0
chronic_myeloid_leukemia,two_step,77,21,56,0,0,0,1.0,1,-56,1,True,exact,True,1,1,0,0.0,0,1.0,100.0
chronic_myeloid_leukemia,leaf_node_removal,77,21,56,0,0,0,1.0,1,-56,1,True,exact,True,1,1,0,0.0,0,1.0,100.0
colorectal_cancer,original,87,36,51,87,36,51,0.0,2251799813685248,0,1,True,monte_carlo,False,1,1,0,8.1789,9,4.440892098500626e-12,0.0
colorectal_cancer,dominant_vertices,87,36,51,36,36,0,1.0,1,-51,1,True,exact,True,1,1,0,0.0,0,1.0,100.0
colorectal_cancer,node_elimination,87,36,51,0,0,0,1.0,1,-51,1,True,exact,True,1,1,0,0.0,0,1.0,100.0
colorectal_cancer,two_step,87,36,51,0,0,0,1.0,1,-51,1,True,exact,True,1,1,0,0.0,0,1.0,100.0
colorectal_cancer,leaf_node_removal,87,36,51,0,0,0,1.0,1,-51,1,True,exact,True,1,1,0,0.0,0,1.0,100.0
endometrial_cancer,original,59,23,36,59,23,36,0.0,68719476736,0,1,True,monte_carlo,False,1,1,0,7.1703,8,1.4551915228366854e-07,0.0
endometrial_cancer,dominant_vertices,59,23,36,23,23,0,1.0,1,-36,1,True,exact,True,1,1,0,0.0,0,1.0,100.0
endometrial_cancer,node_elimination,59,23,36,0,0,0,1.0,1,-36,1,True,exact,True,1,1,0,0.0,0,1.0,100.0
endometrial_cancer,two_step,59,23,36,0,0,0,1.0,1,-36,1,True,exact,True,1,1,0,0.0,0,1.0,100.0
endometrial_cancer,leaf_node_removal,59,23,36,0,0,0,1.0,1,-36,1,True,exact,True,1,1,0,0.0,0,1.0,100.0
glioma,original,76,31,45,76,31,45,0.0,35184372088832,0,1,True,monte_carlo,False,1,1,0,7.9308,8,2.842170943040401e-10,0.0
glioma,dominant_vertices,76,31,45,31,31,0,1.0,1,-45,1,True,exact,True,1,1,0,0.0,0,1.0,100.0
glioma,node_elimination,76,31,45,0,0,0,1.0,1,-45,1,True,exact,True,1,1,0,0.0,0,1.0,100.0
glioma,two_step,76,31,45,0,0,0,1.0,1,-45,1,True,exact,True,1,1,0,0.0,0,1.0,100.0
glioma,leaf_node_removal,76,31,45,0,0,0,1.0,1,-45,1,True,exact,True,1,1,0,0.0,0,1.0,100.0
melanoma,original,73,40,33,73,40,33,0.0,8589934592,0,1,True,monte_carlo,False,1,1,0,4.9854,5,1.164153218269348e-06,0.0
melanoma,dominant_vertices,73,40,33,40,40,0,1.0,1,-33,1,True,exact,True,1,1,0,0.0,0,1.0,100.0
melanoma,node_elimination,73,40,33,0,0,0,1.0,1,-33,1,True,exact,True,1,1,0,0.0,0,1.0,100.0
melanoma,two_step,73,40,33,0,0,0,1.0,1,-33,1,True,exact,True,1,1,0,0.0,0,1.0,100.0
melanoma,leaf_node_removal,73,40,33,0,0,0,1.0,1,-33,1,True,exact,True,1,1,0,0.0,0,1.0,100.0
non_small_cell_lung_cancer,original,73,35,38,73,35,38,0.0,274877906944,0,1,True,monte_carlo,False,1,1,0,8.8008,9,3.6379788070917136e-08,0.0
non_small_cell_lung_cancer,dominant_vertices,73,35,38,35,35,0,1.0,1,-38,1,True,exact,True,1,1,0,0.0,0,1.0,100.0
non_small_cell_lung_cancer,node_elimination,73,35,38,0,0,0,1.0,1,-38,1,True,exact,True,1,1,0,0.0,0,1.0,100.0
non_small_cell_lung_cancer,two_step,73,35,38,0,0,0,1.0,1,-38,1,True,exact,True,1,1,0,0.0,0,1.0,100.0
non_small_cell_lung_cancer,leaf_node_removal,73,35,38,0,0,0,1.0,1,-38,1,True,exact,True,1,1,0,0.0,0,1.0,100.0
pancreatic_cancer,original,77,30,47,77,30,47,0.0,140737488355328,0,1,True,monte_carlo,False,1,1,0,3.7476,4,7.105427357601002e-11,0.0
pancreatic_cancer,dominant_vertices,77,30,47,30,30,0,1.0,1,-47,1,True,exact,True,1,1,0,0.0,0,1.0,100.0
pancreatic_cancer,node_elimination,77,30,47,0,0,0,1.0,1,-47,1,True,exact,True,1,1,0,0.0,0,1.0,100.0
pancreatic_cancer,two_step,77,30,47,0,0,0,1.0,1,-47,1,True,exact,True,1,1,0,0.0,0,1.0,100.0
pancreatic_cancer,leaf_node_removal,77,30,47,0,0,0,1.0,1,-47,1,True,exact,True,1,1,0,0.0,0,1.0,100.0
prostate_cancer,original,106,41,65,106,41,65,0.0,36893488147419103232,0,2,True,monte_carlo,False,1,1,0,7.9964,8,2.710505431213761e-16,0.0
prostate_cancer,dominant_vertices,106,41,65,42,41,1,0.9846153846153848,2,-64,2,True,exact,True,2,2,0,0.0,0,1.0,98.46153846153848
prostate_cancer,node_elimination,106,41,65,1,0,1,0.9846153846153848,2,-64,2,True,exact,True,2,2,0,0.0,0,1.0,98.46153846153848
prostate_cancer,two_step,106,41,65,2,0,2,0.9692307692307692,4,-63,2,True,exact,True,2,2,0,0.5,1,1.0,96.92307692307692
prostate_cancer,leaf_node_removal,106,41,65,33,11,22,0.6615384615384615,4194304,-43,2,True,monte_carlo,False,1,1,0,6.9923,7,0.0023841857910156,66.15384615384615
renal_cell_carcinoma,original,70,26,44,70,26,44,0.0,17592186044416,0,1,True,monte_carlo,False,1,1,0,4.2426,5,5.6843418860808e-10,0.0
renal_cell_carcinoma,dominant_vertices,70,26,44,26,26,0,1.0,1,-44,1,True,exact,True,1,1,0,0.0,0,1.0,100.0
renal_cell_carcinoma,node_elimination,70,26,44,0,0,0,1.0,1,-44,1,True,exact,True,1,1,0,0.0,0,1.0,100.0
renal_cell_carcinoma,two_step,70,26,44,0,0,0,1.0,1,-44,1,True,exact,True,1,1,0,0.0,0,1.0,100.0
renal_cell_carcinoma,leaf_node_removal,70,26,44,0,0,0,1.0,1,-44,1,True,exact,True,1,1,0,0.0,0,1.0,100.0
small_cell_lung_cancer,original,93,45,48,93,45,48,0.0,281474976710656,0,1,True,monte_carlo,False,1,1,0,5.9816,6,3.552713678800501e-11,0.0
small_cell_lung_cancer,dominant_vertices,93,45,48,45,45,0,1.0,1,-48,1,True,exact,True,1,1,0,0.0,0,1.0,100.0
small_cell_lung_cancer,node_elimination,93,45,48,0,0,0,1.0,1,-48,1,True,exact,True,1,1,0,0.0,0,1.0,100.0
small_cell_lung_cancer,two_step,93,45,48,0,0,0,1.0,1,-48,1,True,exact,True,1,1,0,0.0,0,1.0,100.0
small_cell_lung_cancer,leaf_node_removal,93,45,48,0,0,0,1.0,1,-48,1,True,exact,True,1,1,0,0.0,0,1.0,100.0
