network,original_variables,original_fixed_variables,original_free_variables,fixed_points,dominant_vertices_retained,dominant_vertices_fixed,dominant_vertices_free,dominant_vertices_free_reduction_percent,dominant_vertices_log2_effective_ratio,dominant_vertices_analysis_type,dominant_vertices_attractors_observed,dominant_vertices_mean_transient_length,dominant_vertices_max_transient_length,node_elimination_retained,node_elimination_fixed,node_elimination_free,node_elimination_free_reduction_percent,node_elimination_log2_effective_ratio,node_elimination_analysis_type,node_elimination_attractors_observed,node_elimination_mean_transient_length,node_elimination_max_transient_length,two_step_retained,two_step_fixed,two_step_free,two_step_free_reduction_percent,two_step_log2_effective_ratio,two_step_analysis_type,two_step_attractors_observed,two_step_mean_transient_length,two_step_max_transient_length,leaf_node_removal_retained,leaf_node_removal_fixed,leaf_node_removal_free,leaf_node_removal_free_reduction_percent,leaf_node_removal_log2_effective_ratio,leaf_node_removal_analysis_type,leaf_node_removal_attractors_observed,leaf_node_removal_mean_transient_length,leaf_node_removal_max_transient_length
acute_myeloid_leukemia,68,17,51,2,18,17,1,98.03921568627452,-50,exact,2,0.0,0,1,0,1,98.03921568627452,-50,exact,2,0.0,0,12,0,12,76.47058823529412,-39,exact,2,1.87451171875,3,2,1,1,98.03921568627452,-50,exact,2,0.0,0
basal_cell_carcinoma,63,18,45,2,19,18,1,97.77777777777776,-44,exact,2,0.0,0,1,0,1,97.77777777777776,-44,exact,2,0.0,0,44,0,44,2.2222222222222197,-1,monte_carlo,2,4.2666,6,3,2,1,97.77777777777776,-44,exact,2,0.0,0
bladder_cancer,41,26,15,1,26,26,0,100.0,-15,exact,1,0.0,0,0,0,0,100.0,-15,exact,1,0.0,0,0,0,0,100.0,-15,exact,1,0.0,0,0,0,0,100.0,-15,exact,1,0.0,0
chronic_myeloid_leukemia,77,21,56,1,21,21,0,100.0,-56,exact,1,0.0,0,0,0,0,100.0,-56,exact,1,0.0,0,0,0,0,100.0,-56,exact,1,0.0,0,0,0,0,100.0,-56,exact,1,0.0,0
colorectal_cancer,87,36,51,1,36,36,0,100.0,-51,exact,1,0.0,0,0,0,0,100.0,-51,exact,1,0.0,0,0,0,0,100.0,-51,exact,1,0.0,0,0,0,0,100.0,-51,exact,1,0.0,0
endometrial_cancer,59,23,36,1,23,23,0,100.0,-36,exact,1,0.0,0,0,0,0,100.0,-36,exact,1,0.0,0,0,0,0,100.0,-36,exact,1,0.0,0,0,0,0,100.0,-36,exact,1,0.0,0
glioma,76,31,45,1,31,31,0,100.0,-45,exact,1,0.0,0,0,0,0,100.0,-45,exact,1,0.0,0,0,0,0,100.0,-45,exact,1,0.0,0,0,0,0,100.0,-45,exact,1,0.0,0
melanoma,73,40,33,1,40,40,0,100.0,-33,exact,1,0.0,0,0,0,0,100.0,-33,exact,1,0.0,0,0,0,0,100.0,-33,exact,1,0.0,0,0,0,0,100.0,-33,exact,1,0.0,0
non_small_cell_lung_cancer,73,35,38,1,35,35,0,100.0,-38,exact,1,0.0,0,0,0,0,100.0,-38,exact,1,0.0,0,0,0,0,100.0,-38,exact,1,0.0,0,0,0,0,100.0,-38,exact,1,0.0,0
pancreatic_cancer,77,30,47,1,30,30,0,100.0,-47,exact,1,0.0,0,0,0,0,100.0,-47,exact,1,0.0,0,0,0,0,100.0,-47,exact,1,0.0,0,0,0,0,100.0,-47,exact,1,0.0,0
prostate_cancer,106,41,65,2,42,41,1,98.46153846153848,-64,exact,2,0.0,0,1,0,1,98.46153846153848,-64,exact,2,0.0,0,2,0,2,96.92307692307692,-63,exact,2,0.5,1,33,11,22,66.15384615384615,-43,monte_carlo,1,6.9923,7
renal_cell_carcinoma,70,26,44,1,26,26,0,100.0,-44,exact,1,0.0,0,0,0,0,100.0,-44,exact,1,0.0,0,0,0,0,100.0,-44,exact,1,0.0,0,0,0,0,100.0,-44,exact,1,0.0,0
small_cell_lung_cancer,93,45,48,1,45,45,0,100.0,-48,exact,1,0.0,0,0,0,0,100.0,-48,exact,1,0.0,0,0,0,0,100.0,-48,exact,1,0.0,0,0,0,0,100.0,-48,exact,1,0.0,0
thyroid_cancer,37,23,14,1,23,23,0,100.0,-14,exact,1,0.0,0,0,0,0,100.0,-14,exact,1,0.0,0,0,0,0,100.0,-14,exact,1,0.0,0,0,0,0,100.0,-14,exact,1,0.0,0
