network,method,variant,model_file,state_dimension,analysis_type,attractor_count_is_complete,serialized_dimension,fixed_variables,free_variables,initial_states_analyzed,state_space_size,serialized_state_space_size,effective_state_space_size,coverage_fraction,attractors_observed,fixed_attractors_observed,periodic_attractors_observed,attractor_periods,mean_transient_length,max_transient_length,dynamic_analysis_time_seconds,monte_carlo_samples_requested,random_seed,total_attractor_count_match
acute_myeloid_leukemia,original,original,results/models/acute_myeloid_leukemia/original.bnet,68,monte_carlo,False,68,17,51,10000,2251799813685248,295147905179352825856,2251799813685248,4.440892098500626e-12,2,2,0,1;1,6.3481,7,0.3019906899999114,10000,6569635940521561684,
acute_myeloid_leukemia,node_elimination,node_elimination,results/models/acute_myeloid_leukemia/node_elimination.bnet,1,exact,True,1,0,1,2,2,2,2,1.0,2,2,0,1;1,0.0,0,2.46620002144482e-05,,,
acute_myeloid_leukemia,two_step,two_step,results/models/acute_myeloid_leukemia/two_step.bnet,12,exact,True,12,0,12,4096,4096,4096,4096,1.0,2,2,0,1;1,1.87451171875,3,0.023529621999841766,,,
acute_myeloid_leukemia,leaf_node_removal,leaf_node_removal,results/models/acute_myeloid_leukemia/leaf_node_removal.bnet,2,exact,True,2,1,1,2,2,4,2,1.0,2,2,0,1;1,0.0,0,2.1783999727631453e-05,,,
acute_myeloid_leukemia,dominant_vertices,dv_01,results/models/acute_myeloid_leukemia/dominant_vertices/dominant_vertices_01.bnet,18,exact,True,18,17,1,2,2,262144,2,1.0,2,2,0,1;1,0.0,0,2.8345999453449622e-05,,,
basal_cell_carcinoma,original,original,results/models/basal_cell_carcinoma/original.bnet,63,monte_carlo,False,63,18,45,10000,35184372088832,9223372036854775808,35184372088832,2.842170943040401e-10,2,2,0,1;1,4.2207,6,0.21340182899984939,10000,4516529431984585406,
basal_cell_carcinoma,node_elimination,node_elimination,results/models/basal_cell_carcinoma/node_elimination.bnet,1,exact,True,1,0,1,2,2,2,2,1.0,2,2,0,1;1,0.0,0,2.893799955927534e-05,,,
basal_cell_carcinoma,two_step,two_step,results/models/basal_cell_carcinoma/two_step.bnet,44,monte_carlo,False,44,0,44,10000,17592186044416,17592186044416,17592186044416,5.684341886080801e-10,2,2,0,1;1,4.2666,6,0.23770398599936016,10000,1078340473003593703,
basal_cell_carcinoma,leaf_node_removal,leaf_node_removal,results/models/basal_cell_carcinoma/leaf_node_removal.bnet,3,exact,True,3,2,1,2,2,8,2,1.0,2,2,0,1;1,0.0,0,3.033299981325399e-05,,,
basal_cell_carcinoma,dominant_vertices,dv_01,results/models/basal_cell_carcinoma/dominant_vertices/dominant_vertices_01.bnet,19,exact,True,19,18,1,2,2,524288,2,1.0,2,2,0,1;1,0.0,0,4.2595000195433386e-05,,,
bladder_cancer,original,original,results/models/bladder_cancer/original.bnet,41,exact,True,41,26,15,32768,32768,2199023255552,32768,1.0,1,1,0,1,4.854461669921875,5,0.8515213549999316,,,True
bladder_cancer,node_elimination,node_elimination,results/models/bladder_cancer/node_elimination.bnet,0,exact,True,0,0,0,1,1,1,1,1.0,1,1,0,1,0.0,0,1.6448000678792596e-05,,,True
bladder_cancer,two_step,two_step,results/models/bladder_cancer/two_step.bnet,0,exact,True,0,0,0,1,1,1,1,1.0,1,1,0,1,0.0,0,1.1504999747558031e-05,,,True
bladder_cancer,leaf_node_removal,leaf_node_removal,results/models/bladder_cancer/leaf_node_removal.bnet,0,exact,True,0,0,0,1,1,1,1,1.0,1,1,0,1,0.0,0,1.4195000403560698e-05,,,True
bladder_cancer,dominant_vertices,dv_01,results/models/bladder_cancer/dominant_vertices/dominant_vertices_01.bnet,26,exact,True,26,26,0,1,1,67108864,1,1.0,1,1,0,1,0.0,0,4.5261999730428215e-05,,,True
chronic_myeloid_leukemia,original,original,results/models/chronic_myeloid_leukemia/original.bnet,77,monte_carlo,False,77,21,56,10000,72057594037927936,151115727451828646838272,72057594037927936,1.3877787807814457e-13,1,1,0,1,8.4709,9,0.5181412140000248,10000,13677695992417225805,
chronic_myeloid_leukemia,node_elimination,node_elimination,results/models/chronic_myeloid_leukemia/node_elimination.bnet,0,exact,True,0,0,0,1,1,1,1,1.0,1,1,0,1,0.0,0,1.4035000276635401e-05,,,
chronic_myeloid_leukemia,two_step,two_step,results/models/chronic_myeloid_leukemia/two_step.bnet,0,exact,True,0,0,0,1,1,1,1,1.0,1,1,0,1,0.0,0,1.422100012860028e-05,,,
