network,method,variant,model_file,state_dimension,fixed_points,fixed_point_time_seconds,fixed_point_source,fixed_point_count_match
acute_myeloid_leukemia,original,original,results/models/acute_myeloid_leukemia/original.bnet,68,2,0.05326780199993664,mpbn_exact,True
acute_myeloid_leukemia,node_elimination,node_elimination,results/models/acute_myeloid_leukemia/node_elimination.bnet,1,2,0.006949597999664547,mpbn_exact,True
acute_myeloid_leukemia,two_step,two_step,results/models/acute_myeloid_leukemia/two_step.bnet,12,2,0.005926316999648407,mpbn_exact,True
acute_myeloid_leukemia,leaf_node_removal,leaf_node_removal,results/models/acute_myeloid_leukemia/leaf_node_removal.bnet,2,2,0.0035769490000348014,mpbn_exact,True
acute_myeloid_leukemia,dominant_vertices,dv_01,results/models/acute_myeloid_leukemia/dominant_vertices/dominant_vertices_01.bnet,18,2,,theoretical_preservation,True
basal_cell_carcinoma,original,original,results/models/basal_cell_carcinoma/original.bnet,63,2,0.018427025000164576,mpbn_exact,True
basal_cell_carcinoma,node_elimination,node_elimination,results/models/basal_cell_carcinoma/node_elimination.bnet,1,2,0.006134715999905893,mpbn_exact,True
basal_cell_carcinoma,two_step,two_step,results/models/basal_cell_carcinoma/two_step.bnet,44,2,0.02282240799968349,mpbn_exact,True
basal_cell_carcinoma,leaf_node_removal,leaf_node_removal,results/models/basal_cell_carcinoma/leaf_node_removal.bnet,3,2,0.006498436000129004,mpbn_exact,True
basal_cell_carcinoma,dominant_vertices,dv_01,results/models/basal_cell_carcinoma/dominant_vertices/dominant_vertices_01.bnet,19,2,,theoretical_preservation,True
bladder_cancer,original,original,results/models/bladder_cancer/original.bnet,41,1,0.008090553999863914,mpbn_exact,True
bladder_cancer,node_elimination,node_elimination,results/models/bladder_cancer/node_elimination.bnet,0,1,0.0030985070002316206,mpbn_exact,True
bladder_cancer,two_step,two_step,results/models/bladder_cancer/two_step.bnet,0,1,0.0026772179999170476,mpbn_exact,True
bladder_cancer,leaf_node_removal,leaf_node_removal,results/models/bladder_cancer/leaf_node_removal.bnet,0,1,0.002601456000320468,mpbn_exact,True
bladder_cancer,dominant_vertices,dv_01,results/models/bladder_cancer/dominant_vertices/dominant_vertices_01.bnet,26,1,,theoretical_preservation,True
chronic_myeloid_leukemia,original,original,results/models/chronic_myeloid_leukemia/original.bnet,77,1,0.01890214700006254,mpbn_exact,True
chronic_myeloid_leukemia,node_elimination,node_elimination,results/models/chronic_myeloid_leukemia/node_elimination.bnet,0,1,0.0031252230000973213,mpbn_exact,True
chronic_myeloid_leukemia,two_step,two_step,results/models/chronic_myeloid_leukemia/two_step.bnet,0,1,0.002754402999926242,mpbn_exact,True
chronic_myeloid_leukemia,leaf_node_removal,leaf_node_removal,results/models/chronic_myeloid_leukemia/leaf_node_removal.bnet,0,1,0.0028714719996969507,mpbn_exact,True
chronic_myeloid_leukemia,dominant_vertices,dv_01,results/models/chronic_myeloid_leukemia/dominant_vertices/dominant_vertices_01.bnet,21,1,,theoretical_preservation,True
colorectal_cancer,original,original,results/models/colorectal_cancer/original.bnet,87,1,0.013911866999933409,mpbn_exact,True
colorectal_cancer,node_elimination,node_elimination,results/models/colorectal_cancer/node_elimination.bnet,0,1,0.0039062360001480556,mpbn_exact,True
colorectal_cancer,two_step,two_step,results/models/colorectal_cancer/two_step.bnet,0,1,0.003133385000182898,mpbn_exact,True
colorectal_cancer,leaf_node_removal,leaf_node_removal,results/models/colorectal_cancer/leaf_node_removal.bnet,0,1,0.002770544000213704,mpbn_exact,True
colorectal_cancer,dominant_vertices,dv_01,results/models/colorectal_cancer/dominant_vertices/dominant_vertices_01.bnet,36,1,,theoretical_preservation,True
endometrial_cancer,original,original,results/models/endometrial_cancer/original.bnet,59,1,0.010738717000094766,mpbn_exact,True
endometrial_cancer,node_elimination,node_elimination,results/models/endometrial_cancer/node_elimination.bnet,0,1,0.0030463220000456204,mpbn_exact,True
endometrial_cancer,two_step,two_step,results/models/endometrial_cancer/two_step.bnet,0,1,0.00260472399986611,mpbn_exact,True
endometrial_cancer,leaf_node_removal,leaf_node_removal,results/models/endometrial_cancer/leaf_node_removal.bnet,0,1,0.002594890999716881,mpbn_exact,True
endometrial_cancer,dominant_vertices,dv_01,results/models/endometrial_cancer/dominant_vertices/dominant_vertices_01.bnet,23,1,,theoretical_preservation,True
glioma,original,original,results/models/glioma/original.bnet,76,1,0.015448334000211617,mpbn_exact,True
glioma,node_elimination,node_elimination,results/models/glioma/node_elimination.bnet,0,1,0.003042883000034635,mpbn_exact,True
glioma,two_step,two_step,results/models/glioma/two_step.bnet,0,1,0.002508323000256496,mpbn_exact,True
glioma,leaf_node_removal,leaf_node_removal,results/models/glioma/leaf_node_removal.bnet,0,1,0.0024802400002954528,mpbn_exact,True
glioma,dominant_vertices,dv_01,results/models/glioma/dominant_vertices/dominant_vertices_01.bnet,31,1,,theoretical_preservation,True
melanoma,original,original,results/models/melanoma/original.bnet,73,1,0.017734007999933965,mpbn_exact,True
melanoma,node_elimination,node_elimination,results/models/melanoma/node_elimination.bnet,0,1,0.003111215999979322,mpbn_exact,True
