network,method,variant,model_file,original_variables,retained_variables,state_dimension,retained_fraction,eliminated_fraction,state_space_size,original_state_space_size,state_space_ratio,log2_state_space_ratio,effective_state_space_reduction,recurrence_length,depth,dominant_set,fixed_points,fixed_point_time_seconds,fixed_point_source,fixed_point_count_match,analysis_type,attractor_count_is_complete,initial_states_analyzed,coverage_fraction,attractors_observed,fixed_attractors_observed,periodic_attractors_observed,attractor_periods,mean_transient_length,max_transient_length,dynamic_analysis_time_seconds,monte_carlo_samples_requested,random_seed,total_attractor_count_match
acute_myeloid_leukemia,original,original,results/models/acute_myeloid_leukemia/original.bnet,68,68,68,1.0,0.0,295147905179352825856,295147905179352825856,1.0,0,False,,,,2,0.05326780199993664,mpbn_exact,True,monte_carlo,False,10000,3.3881317890172014e-17,2,2,0,1;1,7.601,8,0.6232104870000512,10000,6569635940521561684,
acute_myeloid_leukemia,node_elimination,node_elimination,results/models/acute_myeloid_leukemia/node_elimination.bnet,68,1,1,0.014705882352941176,0.9852941176470589,2,295147905179352825856,6.776263578034403e-21,-67,True,,,,2,0.006949597999664547,mpbn_exact,True,exact,True,2,1.0,2,2,0,1;1,0.0,0,2.4156000108632725e-05,,,
acute_myeloid_leukemia,two_step,two_step,results/models/acute_myeloid_leukemia/two_step.bnet,68,12,12,0.17647058823529413,0.8235294117647058,4096,295147905179352825856,1.3877787807814457e-17,-56,True,,,,2,0.005926316999648407,mpbn_exact,True,exact,True,4096,1.0,2,2,0,1;1,1.87451171875,3,0.018549172999883012,,,
acute_myeloid_leukemia,leaf_node_removal,leaf_node_removal,results/models/acute_myeloid_leukemia/leaf_node_removal.bnet,68,2,2,0.029411764705882353,0.9705882352941176,4,295147905179352825856,1.3552527156068805e-20,-66,True,,,,2,0.0035769490000348014,mpbn_exact,True,exact,True,4,1.0,2,2,0,1;1,0.5,1,2.6153999897360336e-05,,,
acute_myeloid_leukemia,dominant_vertices,dv_01,results/models/acute_myeloid_leukemia/dominant_vertices/dominant_vertices_01.bnet,68,18,18,0.2647058823529412,0.7352941176470589,262144,295147905179352825856,8.881784197001252e-16,-50,True,1,7,hsa_1436;hsa_1437;hsa_2209;hsa_2322;hsa_3562;hsa_3684;hsa_3815;hsa_4353;hsa_51176;hsa_5371;hsa_5914;hsa_6932;hsa_6934;hsa_83439;hsa_861;hsa_862;hsa_8864;hsa_929,2,,theoretical_preservation,True,exact,True,262144,1.0,2,2,0,1;1,0.9999923706054688,1,1.2091549849997136,,,
basal_cell_carcinoma,original,original,results/models/basal_cell_carcinoma/original.bnet,63,63,63,1.0,0.0,9223372036854775808,9223372036854775808,1.0,0,False,,,,2,0.018427025000164576,mpbn_exact,True,monte_carlo,False,10000,1.0842021724855044e-15,2,2,0,1;1,3.0508,6,0.26130563600008827,10000,4516529431984585406,
basal_cell_carcinoma,node_elimination,node_elimination,results/models/basal_cell_carcinoma/node_elimination.bnet,63,1,1,0.015873015873015872,0.9841269841269842,2,9223372036854775808,2.168404344971009e-19,-62,True,,,,2,0.006134715999905893,mpbn_exact,True,exact,True,2,1.0,2,2,0,1;1,0.0,0,3.6374000046635047e-05,,,
basal_cell_carcinoma,two_step,two_step,results/models/basal_cell_carcinoma/two_step.bnet,63,44,44,0.6984126984126984,0.3015873015873016,17592186044416,9223372036854775808,1.9073486328125e-06,-19,True,,,,2,0.02282240799968349,mpbn_exact,True,monte_carlo,False,10000,5.684341886080801e-10,2,2,0,1;1,4.2666,6,0.25026642400007404,10000,1078340473003593703,
basal_cell_carcinoma,leaf_node_removal,leaf_node_removal,results/models/basal_cell_carcinoma/leaf_node_removal.bnet,63,3,3,0.047619047619047616,0.9523809523809523,8,9223372036854775808,8.673617379884035e-19,-60,True,,,,2,0.006498436000129004,mpbn_exact,True,exact,True,8,1.0,2,2,0,1;1,0.75,1,5.507400010174024e-05,,,
basal_cell_carcinoma,dominant_vertices,dv_01,results/models/basal_cell_carcinoma/dominant_vertices/dominant_vertices_01.bnet,63,19,19,0.30158730158730157,0.6984126984126984,524288,9223372036854775808,5.684341886080802e-14,-44,True,1,6,hsa_1026;hsa_10297;hsa_10912;hsa_1643;hsa_1647;hsa_2735;hsa_2736;hsa_2737;hsa_324;hsa_374654;hsa_4616;hsa_51426;hsa_578;hsa_581;hsa_6469;hsa_6608;hsa_7157;hsa_8312;hsa_8313,2,,theoretical_preservation,True,exact,True,524288,1.0,2,2,0,1;1,0.9999961853027344,1,4.495719621000262,,,
