dv_metric,network_metric,n,pearson_r,pearson_p,spearman_rho,spearman_p,pearson_fdr,spearman_fdr,abs_spearman_rho
dominant_betweenness_enrichment,cyclic_scc_count,14,0.601864679586791,0.022771133549899594,0.779419700183111,0.001014510942363351,0.15725509530607445,0.05478359088762095,0.779419700183111
dominant_betweenness_enrichment,cyclic_node_fraction,14,0.4017612604856359,0.15446399148385803,0.6974892473417575,0.005552303017049189,0.4170527770064167,0.14432419840847407,0.6974892473417575
dominant_set_size,largest_scc_fraction,14,-0.5212809453410561,0.05593077329686137,-0.6754966887417218,0.008018011022693004,0.23232782754080877,0.14432419840847407,0.6754966887417218
dominant_depth,in_degree_entropy,14,0.7088751865537539,0.004533866739488648,0.6384708002305223,0.013993479607166712,0.1224144019661935,0.1889119746967506,0.6384708002305223
dominant_pagerank_enrichment,density,14,-0.6661164957721978,0.00929666216965144,-0.621978021978022,0.017550315290540047,0.1230147684368779,0.1895434051378325,0.621978021978022
dominant_depth,out_degree_entropy,14,0.6000390889675744,0.023297051156455473,0.5692659232824587,0.03360598751606753,0.15725509530607445,0.23914702202137836,0.5692659232824587
dominant_fraction,average_clustering,14,-0.5605102829724578,0.03707541983190456,-0.5468444073095409,0.04300881336309552,0.20020726709228462,0.23914702202137836,0.5468444073095409
dominant_pagerank_enrichment,edges_per_node,14,-0.6692175982834995,0.00885768672746199,-0.5428571428571429,0.044863966439248656,0.1230147684368779,0.23914702202137836,0.5428571428571429
dominant_degree_enrichment,density,14,0.2247048674870991,0.43991431783927026,0.5340659340659341,0.0491599163719851,0.7423554113537686,0.23914702202137836,0.5340659340659341
dominant_fraction,degree_entropy_H,14,-0.6403873219099834,0.013618999413062443,-0.5252747252747253,0.05374750176788299,0.1230147684368779,0.23914702202137836,0.5252747252747253
dominant_fraction,cyclic_node_fraction,14,-0.5297597465574932,0.051369956804275405,-0.5168292387298526,0.05843903966685833,0.23116480561923933,0.23914702202137836,0.5168292387298526
dominant_fraction,in_degree_entropy,14,-0.7824884981819407,0.0009394435863519263,-0.5164835164835165,0.05863716344127844,0.05072995366300402,0.23914702202137836,0.5164835164835165
dominant_depth,largest_scc_fraction,14,-0.6401326866111028,0.013668307604097544,-0.5134690772674697,0.06038519000937438,0.1230147684368779,0.23914702202137836,0.5134690772674697
dominant_betweenness_enrichment,degree_entropy_H,14,0.41396065147585587,0.14116655274238038,0.5084755350948297,0.06336276658521699,0.41701891768353744,0.23914702202137836,0.5084755350948297
dominant_betweenness_enrichment,in_degree_entropy,14,0.2986801395628974,0.2996019036645313,0.5012631161573144,0.0678470108984692,0.615103894127244,0.23914702202137836,0.5012631161573144
dominant_fraction,cyclic_scc_count,14,-0.4953547931698414,0.07168549657672439,-0.49660854465066007,0.07085837689522322,0.2765012010816512,0.23914702202137836,0.49660854465066007
dominant_betweenness_enrichment,out_degree_entropy,14,0.4404397587887227,0.1149872977209727,0.4688072309384954,0.09084670648388156,0.3652537692313251,0.2885718911840943,0.4688072309384954
dominant_betweenness_enrichment,average_clustering,14,0.019489449976239977,0.9472748342110782,0.41205385117252463,0.14319276355153435,0.9472748342110782,0.42957829065460307,0.41205385117252463
dominant_depth,degree_entropy_H,14,0.4596401728180404,0.09822067223983459,0.4018347693758532,0.15438148281346845,0.34432939161807036,0.43876842483827877,0.4018347693758532
dominant_fraction,out_degree_entropy,14,-0.5325079362852057,0.04995137534899633,-0.38461538461538464,0.17450875077509556,0.23116480561923933,0.4626158047870669,0.38461538461538464
dominant_degree_enrichment,edges_per_node,14,0.31437808556891345,0.27365626655063446,0.3802197802197802,0.17990614630608154,0.5910975357493704,0.4626158047870669,0.3802197802197802
dominant_degree_enrichment,degree_entropy_H,14,0.4087686881527407,0.14672887844420762,0.35824175824175825,0.2084981247907672,0.41701891768353744,0.5117681244864286,0.35824175824175825
dominant_set_size,cyclic_node_fraction,14,-0.3350922570176194,0.24153653734565528,-0.3463342252985834,0.22511596861518202,0.5434572090277244,0.52853314370521,0.3463342252985834
dominant_fraction,edges_per_node,14,-0.38355806634373946,0.17579733685885038,-0.2835164835164835,0.32596594744177265,0.452050294779901,0.7020257884669993,0.2835164835164835
dominant_set_size,cyclic_scc_count,14,-0.20396915019642475,0.48427925117329973,-0.2813107323625436,0.32990653563415884,0.7691493989222995,0.7020257884669993,0.2813107323625436
dominant_depth,edges_per_node,14,0.0976280768279297,0.7398682835719392,0.27681950779225445,0.33801241666929593,0.9080201662019255,0.7020257884669993,0.27681950779225445
dominant_degree_enrichment,out_degree_entropy,14,0.2940297496032015,0.307551947063622,0.26593406593406593,0.3581134003647861,0.615103894127244,0.7077647508674961,0.26593406593406593
dominant_betweenness_enrichment,edges_per_node,14,0.13583531780228503,0.6433503057654846,0.25964708175055135,0.3700133074001365,0.8685229127834042,0.7077647508674961,0.25964708175055135
dominant_pagerank_enrichment,average_clustering,14,0.07085536093190584,0.8097876342483945,0.24643202904507205,0.3957089101165181,0.9082295996547606,0.7077647508674961,0.24643202904507205
dominant_set_size,out_degree_entropy,14,0.2813966302661592,0.32975257951167486,0.24449398516922924,0.39955406085223966,0.6359514033439444,0.7077647508674961,0.24449398516922924
dominant_betweenness_enrichment,largest_scc_fraction,14,-0.3355304185896911,0.24088320886153353,-0.2349204928674698,0.41883173390534245,0.5434572090277244,0.7077647508674961,0.2349204928674698
dominant_set_size,average_clustering,14,-0.4550982403542301,0.10202352344239121,-0.22345396046664454,0.4425316116004714,0.34432939161807036,0.7077647508674961,0.22345396046664454
dominant_set_size,edges_per_node,14,0.03871730450246809,0.895452429153682,0.22246750001884827,0.4446010391948869,0.9472748342110782,0.7077647508674961,0.22246750001884827
dominant_fraction,density,14,-0.2304468253410313,0.4279999602940076,-0.221978021978022,0.44562965795360865,0.7423554113537686,0.7077647508674961,0.221978021978022
dominant_set_size,density,14,-0.270286479510874,0.3499993932972188,-0.21365690595869585,0.4632948555009796,0.6517230082086143,0.7147977770586542,0.21365690595869585
dominant_degree_enrichment,largest_scc_fraction,14,-0.20891797254765118,0.47350427542335205,-0.20704896041358153,0.47756011863403813,0.7691493989222995,0.7163401779510572,0.20704896041358153
dominant_pagerank_enrichment,cyclic_scc_count,14,0.07757639640055752,0.7920894758367998,0.15114173098063566,0.6060119079464847,0.9082295996547606,0.853874089552551,0.15114173098063566
dominant_pagerank_enrichment,out_degree_entropy,14,-0.25060934250327166,0.3874873809014675,-0.14725274725274726,0.6154187624847252,0.6974772856226414,0.853874089552551,0.14725274725274726
dominant_betweenness_enrichment,density,14,-0.09035677841978114,0.7586972720693643,0.137035959812791,0.6403915824241214,0.9082295996547606,0.853874089552551,0.137035959812791
dominant_pagerank_enrichment,degree_entropy_H,14,0.0654307511110522,0.8241342663533938,0.13406593406593406,0.6477195279851131,0.9082295996547606,0.853874089552551,0.13406593406593406
dominant_depth,density,14,-0.15353241535788179,0.6002571339352929,-0.1272476769690202,0.6646539185614213,0.865475580660015,0.853874089552551,0.1272476769690202
dominant_fraction,largest_scc_fraction,14,0.5891934465908668,0.026611964780082688,0.12334831684213368,0.6744065657059704,0.1596717886804961,0.853874089552551,0.12334831684213368
dominant_set_size,degree_entropy_H,14,0.16961293208830833,0.5621229389411273,0.12114566832709558,0.6799367750140684,0.865475580660015,0.853874089552551,0.12114566832709558
dominant_degree_enrichment,in_degree_entropy,14,0.12351138825015612,0.6739977436975793,0.1032967032967033,0.725282211088945,0.8737147767842188,0.872764299827626,0.1032967032967033
dominant_depth,average_clustering,14,-0.07636341689689571,0.7952769275894679,0.10250916902778873,0.7273035831896884,0.9082295996547606,0.872764299827626,0.10250916902778873
dominant_degree_enrichment,cyclic_node_fraction,14,0.15026455936105865,0.6081287663290038,0.0764540293979072,0.7950387139959245,0.865475580660015,0.9101446868638039,0.0764540293979072
dominant_pagerank_enrichment,cyclic_node_fraction,14,-0.03911420138036036,0.8943861280089517,0.0764540293979072,0.7950387139959245,0.9472748342110782,0.9101446868638039,0.0764540293979072
dominant_set_size,in_degree_entropy,14,0.14382059165880337,0.6237665341970318,0.07048475248121924,0.8107660794338682,0.865475580660015,0.9101446868638039,0.07048475248121924
dominant_degree_enrichment,cyclic_scc_count,14,0.12129716120353523,0.6795559374988369,0.06477502756312957,0.825872030672711,0.8737147767842188,0.9101446868638039,0.06477502756312957
dominant_pagerank_enrichment,in_degree_entropy,14,-0.11320394232801681,0.6999989098078886,-0.03736263736263736,0.899093096973967,0.879068398363395,0.9528245641064254,0.03736263736263736
dominant_depth,cyclic_node_fraction,14,-0.02879265221759504,0.9221649764953777,-0.031063241573973437,0.9160459107470801,0.9472748342110782,0.9528245641064254,0.031063241573973437
dominant_degree_enrichment,average_clustering,14,0.3394859986157851,0.23503411859962978,0.03051063216748512,0.917534765435817,0.5434572090277244,0.9528245641064254,0.03051063216748512
dominant_pagerank_enrichment,largest_scc_fraction,14,0.14328800868612515,0.6250656971433441,0.006607945545114304,0.9821133866342291,0.865475580660015,1.0,0.006607945545114304
dominant_depth,cyclic_scc_count,14,0.02361619114304532,0.9361296181416898,0.0,1.0,0.9472748342110782,1.0,0.0
