network,label,survival_5y_percent,nodes,edges,fixed_inputs,free_variables_original,degree_entropy_H,in_degree_entropy,out_degree_entropy,edges_per_node,density,average_clustering,largest_scc_fraction,cyclic_scc_count,cyclic_node_fraction,self_loops,dominant_set_size,dominant_fraction,dominant_fixed_count,dominant_dynamic_count,dominant_fixed_fraction,dominant_depth,recurrence_length,dominant_degree_enrichment,dominant_betweenness_enrichment,dominant_pagerank_enrichment,dominant_top10_degree_fraction,dominant_top10_betweenness_fraction,dominant_top10_pagerank_fraction
acute_myeloid_leukemia,AML,23.6,68,155,17,51,2.2843890515893377,1.6631790256008456,1.5296873427565314,2.2794117647058822,0.03402107111501317,0.10932539682539683,0.014705882352941176,1,0.014705882352941176,1,18,0.2647058823529412,17,1,0.9444444444444444,7,1,0.6010101010101011,0.003228869895536562,0.5424904713841339,0.05555555555555555,0.0,0.0
basal_cell_carcinoma,Basal,91.4,63,305,18,45,1.9026272942514166,1.4515342204367851,1.4559938193466728,4.841269841269841,0.07808499743983614,0.060236060236060235,0.015873015873015872,1,0.015873015873015872,1,19,0.30158730158730157,18,1,0.9473684210526315,6,1,0.4253808864265928,0.0,0.37348290736635553,0.15789473684210525,0.0,0.0
bladder_cancer,Bladder,78.1,41,29,26,15,1.4545421113934858,1.0537322176658461,1.0537322176658461,0.7073170731707317,0.01768292682926829,0.0,0.024390243902439025,0,0.0,0,26,0.6341463414634146,26,0,1.0,5,1,0.21750663129973472,0.0,0.6111745164425137,0.0,0.0,0.0
chronic_myeloid_leukemia,CML,55.2,77,148,21,56,2.04400956805346,1.6305120316505959,1.710759416810304,1.922077922077922,0.025290498974709502,0.0,0.012987012987012988,0,0.0,0,21,0.2727272727272727,21,0,1.0,9,1,0.44594594594594594,0.0,0.49108993243220866,0.09523809523809523,0.0,0.0
colorectal_cancer,Colorectal,63.6,87,135,36,51,1.7526408823981035,1.6182632534105958,1.4972947306564781,1.5517241379310345,0.018043303929430633,0.012041598248494798,0.011494252873563218,0,0.0,0,36,0.41379310344827586,36,0,1.0,9,1,0.116358024691358,0.0,0.49062503347620073,0.0,0.0,0.0
endometrial_cancer,Endometrial,68.6,59,79,23,36,1.5705894783935155,1.5026177450140579,1.3067932061596628,1.3389830508474576,0.023085914669783752,0.0,0.01694915254237288,0,0.0,0,23,0.3898305084745763,23,0,1.0,8,1,0.08117776554760595,0.0,0.48976424743834485,0.0,0.0,0.0
glioma,Glioma,33.4,76,211,31,45,2.4042184501959287,1.6689483770763234,1.736820591073679,2.776315789473684,0.03701754385964912,0.0,0.013157894736842105,0,0.0,0,31,0.40789473684210525,31,0,1.0,8,1,0.44152270295061924,0.0,0.4421711723629116,0.0,0.0,0.0
melanoma,Melanoma,91.2,73,244,40,33,1.7690957439132864,1.3597613658758547,1.614666865326674,3.3424657534246576,0.04642313546423135,0.0,0.0136986301369863,0,0.0,0,40,0.547945205479452,40,0,1.0,7,1,0.564702868852459,0.0,0.3311814698381235,0.0,0.0,0.0
non_small_cell_lung_cancer,NSCLC,18.0,73,99,35,38,1.9951889155129143,1.472825443546451,1.3831442027459333,1.356164383561644,0.018835616438356163,0.010176125244618396,0.0136986301369863,0,0.0,0,35,0.4794520547945205,35,0,1.0,9,1,0.34761904761904766,0.0,0.5321042100903787,0.0,0.0,0.0
pancreatic_cancer,Pancreatic,5.5,77,113,30,47,2.10477899191086,1.4819819477389167,1.4717532588173416,1.4675324675324675,0.019309637730690363,0.049134199134199134,0.012987012987012988,0,0.0,0,30,0.38961038961038963,30,0,1.0,6,1,0.68141592920354,0.0,0.6009506536522768,0.16666666666666666,0.0,0.0
prostate_cancer,Prostate,99.4,106,270,41,65,2.3068017948542088,1.6395809336723137,1.7619718003543627,2.547169811320755,0.02425876010781671,0.008562787758418344,0.009433962264150943,1,0.009433962264150943,1,42,0.39622641509433965,41,1,0.9761904761904762,8,1,0.3659054699946893,0.024532777874211646,0.6399213139224355,0.0,0.0,0.023809523809523808
renal_cell_carcinoma,RCC,69.5,70,94,26,44,1.8603585358460613,1.4196976835362516,1.318606927942911,1.3428571428571427,0.019461697722567287,0.007359307359307359,0.014285714285714285,0,0.0,0,26,0.37142857142857144,26,0,1.0,5,1,0.38666121112929613,0.0,0.6014106366063755,0.038461538461538464,0.0,0.0
small_cell_lung_cancer,SCLC,6.2,93,217,45,48,1.9280217265425528,1.5326852416104504,1.428741927672784,2.3333333333333335,0.025362318840579712,0.0,0.010752688172043012,0,0.0,0,45,0.4838709677419355,45,0,1.0,6,1,0.7380952380952384,0.0,0.4052129071438063,0.044444444444444446,0.0,0.0
thyroid_cancer,Thyroid,97.2,37,42,23,14,1.3962405408425576,1.2072598215636061,1.2735417084025735,1.135135135135135,0.03153153153153153,0.0,0.02702702702702703,0,0.0,0,23,0.6216216216216216,23,0,1.0,4,1,0.4787784679089027,0.0,0.5228512440568468,0.0,0.0,0.0
