metric,n,pearson_r,pearson_r2,pearson_p,spearman_rho,spearman_p,pearson_fdr,spearman_fdr,abs_spearman_rho
dominant_top10_pagerank_fraction,14,0.3578010712487559,0.1280216065867573,0.20909896544141032,0.4472135954999579,0.10886430106296381,0.7093006271683655,0.6422637831471105,0.4472135954999579
degree_entropy_H,14,-0.46098501968014194,0.21250718836950086,0.097113775401892,-0.4197802197802198,0.13510107382914271,0.7093006271683655,0.6422637831471105,0.4197802197802198
dominant_top10_degree_fraction,14,-0.2692519952027701,0.07249663692067253,0.35191868828130896,-0.3942959909955345,0.16299507789101247,0.7093006271683655,0.6422637831471105,0.3942959909955345
in_degree_entropy,14,-0.395932578941182,0.1567626070670153,0.16109903366724432,-0.3934065934065934,0.16403157340077784,0.7093006271683655,0.6422637831471105,0.3934065934065934
dominant_degree_enrichment,14,-0.45548408188607536,0.20746574885160102,0.10169657908208633,-0.35824175824175825,0.2084981247907672,0.7093006271683655,0.6422637831471105,0.35824175824175825
nodes,14,-0.2856372915636449,0.0815886623318147,0.3222022931786766,-0.34801846537602005,0.22271714134124265,0.7093006271683655,0.6422637831471105,0.34801846537602005
largest_scc_fraction,14,0.39126794007750376,0.15309060093249308,0.166541548181957,0.34801846537602005,0.22271714134124265,0.7093006271683655,0.6422637831471105,0.34801846537602005
cyclic_scc_count,14,0.22768985731637534,0.05184267112475136,0.43370007707581504,0.3238751378156478,0.25863022385012624,0.7093006271683655,0.6422637831471105,0.3238751378156478
self_loops,14,0.22768985731637534,0.05184267112475136,0.43370007707581504,0.3238751378156478,0.25863022385012624,0.7093006271683655,0.6422637831471105,0.3238751378156478
dominant_dynamic_count,14,0.22768985731637534,0.05184267112475136,0.43370007707581504,0.3238751378156478,0.25863022385012624,0.7093006271683655,0.6422637831471105,0.3238751378156478
cyclic_node_fraction,14,0.1734065913048767,0.030069845907976542,0.5532775671987781,0.30887427876754514,0.28259606458472863,0.750408017758167,0.6422637831471105,0.30887427876754514
free_variables_original,14,-0.2736516960003671,0.07488525072387733,0.3437958850671398,-0.27973636140983893,0.33273545750309685,0.7093006271683655,0.6578508816756627,0.27973636140983893
dominant_depth,14,-0.2180378896321109,0.04754052131522458,0.45395240138775395,-0.27458709240683304,0.34208245847134466,0.7093006271683655,0.6578508816756627,0.27458709240683304
dominant_fixed_fraction,14,-0.10641487268675684,0.011324125128938666,0.7172951985257567,-0.2599436999528845,0.3694471332180832,0.7796686940497356,0.65972702360372,0.2599436999528845
density,14,0.33733482354323646,0.11379478317494648,0.23820411596697594,0.22637362637362637,0.4364347945560526,0.7093006271683655,0.7273913242600877,0.22637362637362637
dominant_fraction,14,0.2471707737230681,0.06109339138286013,0.3942483430318505,0.2087912087912088,0.4737788373098136,0.7093006271683655,0.7402794332965837,0.2087912087912088
dominant_betweenness_enrichment,14,0.32076146303655595,0.10288791616935185,0.2635007424707294,0.18752289237539818,0.52089656690372,0.7093006271683655,0.7450032609693046,0.18752289237539818
average_clustering,14,-0.281449962008975,0.07921408111485347,0.32965701254804874,-0.18071682129971953,0.5364023478978993,0.7093006271683655,0.7450032609693046,0.18071682129971953
fixed_inputs,14,-0.15050081548132707,0.02265049546054446,0.6075583331451679,-0.09471388614663837,0.7473989378091688,0.750408017758167,0.8753143361361277,0.09471388614663837
dominant_set_size,14,-0.14112896210471498,0.019917383944754077,0.6303427349168603,-0.09471388614663837,0.7473989378091688,0.750408017758167,0.8753143361361277,0.09471388614663837
dominant_fixed_count,14,-0.15050081548132707,0.02265049546054446,0.6075583331451679,-0.09471388614663837,0.7473989378091688,0.750408017758167,0.8753143361361277,0.09471388614663837
edges,14,0.10649740413109443,0.01134169708666165,0.7170841593389934,0.07252747252747253,0.8053763135410923,0.7796686940497356,0.8753143361361277,0.07252747252747253
out_degree_entropy,14,-0.07736894708075923,0.005985953972385321,0.7926343958987927,-0.06813186813186813,0.8169838797817922,0.8256608290612424,0.8753143361361277,0.06813186813186813
dominant_pagerank_enrichment,14,-0.03731101415281356,0.0013921117771114534,0.89923187127392,0.059340659340659345,0.8403017626906826,0.89923187127392,0.8753143361361277,0.059340659340659345
edges_per_node,14,0.1974034935502148,0.0389681392658297,0.49875030229170547,0.032967032967032975,0.910918653071845,0.7334563268995669,0.910918653071845,0.032967032967032975
