metric,n,pearson_r,pearson_r2,pearson_p,spearman_rho,spearman_p,pearson_fdr,spearman_fdr,abs_spearman_rho
degree_entropy_H,13,-0.6823669520273012,0.46562465721902924,0.010177788383401878,-0.7252747252747254,0.005023237655349916,0.24426692120164506,0.07708884377969237,0.7252747252747254
nodes,13,-0.61342637612314,0.376291918923568,0.025767313980064408,-0.6859530160899663,0.009636105472461546,0.2900203206537626,0.07708884377969237,0.6859530160899663
largest_scc_fraction,13,0.5790504770268623,0.33529945494503677,0.03810941363352686,0.6859530160899663,0.009636105472461546,0.2900203206537626,0.07708884377969237,0.6859530160899663
in_degree_entropy,13,-0.5418007663088837,0.29354807037289365,0.05580509927019032,-0.6373626373626374,0.0191181137774633,0.2900203206537626,0.1147086826647798,0.6373626373626374
free_variables_original,13,-0.5335168269861105,0.2846402046773273,0.060420900136200544,-0.6005532430024604,0.029979152835189815,0.2900203206537626,0.14389993360891112,0.6005532430024604
dominant_depth,13,-0.31113814048144894,0.09680694246225385,0.30077946908816666,-0.4100901048484028,0.16399778732168238,0.5982483715315993,0.6284171508113602,0.4100901048484028
dominant_degree_enrichment,13,-0.4579386258082602,0.20970778500715778,0.11557501547838551,-0.3516483516483516,0.2386997053420337,0.46230006191354206,0.6284171508113602,0.3516483516483516
out_degree_entropy,13,-0.2730660832540293,0.07456508582369646,0.36669683803406417,-0.33516483516483514,0.2629431403593601,0.5982483715315993,0.6284171508113602,0.33516483516483514
dominant_top10_degree_fraction,13,-0.21856086392685975,0.0477688512404553,0.4731424189963057,-0.33449680400283627,0.2639551596696752,0.6679657679947845,0.6284171508113602,0.33449680400283627
fixed_inputs,13,-0.3286513975985921,0.10801174114350785,0.2729083360801729,-0.30303145289114974,0.3142085754056801,0.5982483715315993,0.6284171508113602,0.30303145289114974
dominant_set_size,13,-0.33471234093830204,0.11203235117639815,0.2636283859405873,-0.30303145289114974,0.3142085754056801,0.5982483715315993,0.6284171508113602,0.30303145289114974
dominant_fixed_count,13,-0.3286513975985921,0.10801174114350785,0.2729083360801729,-0.30303145289114974,0.3142085754056801,0.5982483715315993,0.6284171508113602,0.30303145289114974
density,13,0.40153037462195107,0.16122664174404436,0.17385101323171145,0.2802197802197803,0.35376363563367896,0.5960606167944392,0.6406852153403857,0.2802197802197803
dominant_fraction,13,0.29461094633414164,0.08679560969989848,0.3285078970708757,0.2692307692307692,0.37373304228189164,0.5982483715315993,0.6406852153403857,0.2692307692307692
average_clustering,13,-0.2691373940549252,0.0724349368786761,0.3739052322072495,-0.24489944578779085,0.4200011293379571,0.5982483715315993,0.670112394936295,0.24489944578779085
dominant_betweenness_enrichment,13,-0.2765427803898536,0.07647590938575079,0.3603801465805075,-0.23145502494313785,0.44674159662419666,0.5982483715315993,0.670112394936295,0.23145502494313785
dominant_pagerank_enrichment,13,-0.21948687288433882,0.04817448736854591,0.4712223382286687,-0.1758241758241758,0.5655798619595345,0.6679657679947845,0.7417676764093255,0.1758241758241758
cyclic_node_fraction,13,0.06495806775806937,0.0042195505668619305,0.8330188934080379,0.14850701853560508,0.6282458298565519,0.9089450614989886,0.7417676764093255,0.14850701853560508
edges,13,-0.04110271193836766,0.0016894329286884315,0.8939403944626848,-0.14835164835164835,0.6286094178894162,0.9089450614989886,0.7417676764093255,0.14835164835164835
edges_per_node,13,0.16363435440672677,0.02677620194210626,0.5932257168983326,-0.13186813186813187,0.6676075762175147,0.7909676225311101,0.7417676764093255,0.13186813186813187
cyclic_scc_count,13,0.04760606755277935,0.002266337667839791,0.8772655542441856,0.11396057645963795,0.7108606898922702,0.9089450614989886,0.7417676764093255,0.11396057645963795
self_loops,13,0.04760606755277935,0.002266337667839791,0.8772655542441856,0.11396057645963795,0.7108606898922702,0.9089450614989886,0.7417676764093255,0.11396057645963795
dominant_dynamic_count,13,0.04760606755277935,0.002266337667839791,0.8772655542441856,0.11396057645963795,0.7108606898922702,0.9089450614989886,0.7417676764093255,0.11396057645963795
dominant_fixed_fraction,13,-0.03526417860466877,0.0012435622926619783,0.9089450614989886,-0.07862136275414389,0.7984880363297364,0.9089450614989886,0.7984880363297364,0.07862136275414389
